iter	Logloss
0	0.5965369308
1	0.513630195
2	0.4554388059
3	0.4114260065
4	0.3805130312
5	0.3573656018
6	0.3361900893
7	0.32677004
8	0.3162695609
9	0.3082646364
10	0.3029741121
11	0.2974791559
12	0.2914511149
13	0.2882948754
14	0.2847788254
15	0.2817786812
16	0.2792279544
17	0.2779956024
18	0.2766752051
19	0.2757375064
20	0.2740725831
21	0.2727092769
22	0.2724019505
23	0.2716437474
24	0.2711219532
25	0.270544705
26	0.2695425661
27	0.2686496197
28	0.2680623099
29	0.2676646085
30	0.2671249185
31	0.266564926
32	0.2659586196
33	0.2657336549
34	0.2648704068
35	0.2645605715
36	0.2635440698
37	0.2631483142
38	0.2624442593
39	0.2619760757
40	0.2614067385
41	0.2607547837
42	0.2605492509
43	0.2602455088
44	0.2596389463
45	0.2591967487
46	0.2588001226
47	0.2580024412
48	0.2567681434
49	0.2562265588
50	0.2555042497
51	0.2549990968
52	0.2542595063
53	0.2536406805
54	0.2527902078
55	0.2523538474
56	0.2519155157
57	0.2518949829
58	0.2515885782
59	0.251054751
60	0.2504479325
61	0.249807857
62	0.2493779739
63	0.2484601424
64	0.2481754994
65	0.2477035522
66	0.2473358564
67	0.2465790102
68	0.2460396274
69	0.2456335285
70	0.2453760749
71	0.2449207946
72	0.2446876372
73	0.2444336654
74	0.2436238487
75	0.2431597102
76	0.2422556525
77	0.2417232846
78	0.2412439129
79	0.2407664357
80	0.239960152
81	0.2393465234
82	0.2389950336
83	0.238309105
84	0.237454664
85	0.2368050646
86	0.2362326552
87	0.2353371742
88	0.2346057508
89	0.2340070993
90	0.2330012994
91	0.2321976783
92	0.2313699402
93	0.2308921046
94	0.230176324
95	0.2296209655
96	0.2291097705
97	0.228372049
98	0.2277384508
99	0.2273270268
100	0.2266633719
101	0.2260629539
102	0.2256193481
103	0.2252551085
104	0.2244690249
105	0.2240040926
106	0.2236552398
107	0.2233330643
108	0.2225924754
109	0.2222947242
110	0.221873085
111	0.2208181548
112	0.2204010471
113	0.2200352202
114	0.2192197454
