iter	Passed	Remaining
0	288	288526
1	293	146411
2	297	98825
3	300	74929
4	305	60745
5	309	51323
6	314	44665
7	319	39597
8	323	35629
9	327	32457
10	331	29774
11	334	27515
12	338	25698
13	342	24112
14	346	22747
15	352	21687
16	358	20719
17	362	19786
18	368	19040
19	374	18329
20	379	17714
21	385	17127
22	389	16551
23	395	16065
24	400	15617
25	405	15185
26	409	14772
27	434	15089
28	439	14723
29	444	14376
30	449	14053
31	454	13744
32	458	13441
33	463	13165
34	467	12900
35	472	12647
36	476	12397
37	481	12201
38	485	11972
39	489	11746
40	493	11547
41	498	11364
42	502	11174
43	506	10997
44	511	10849
45	515	10693
46	520	10549
47	525	10412
48	528	10266
49	532	10125
50	537	9992
51	541	9871
52	545	9750
53	549	9628
54	555	9548
55	561	9461
56	565	9363
57	570	9263
58	575	9182
59	581	9108
60	586	9029
61	591	8953
62	596	8873
63	600	8785
64	607	8736
65	623	8822
66	639	8900
67	675	9261
68	694	9364
69	699	9292
70	707	9263
71	714	9208
72	720	9146
73	725	9073
74	730	9003
75	734	8926
76	738	8857
77	743	8794
78	747	8714
79	752	8653
80	768	8715
81	777	8699
82	782	8642
83	795	8669
84	799	8611
85	804	8554
86	809	8491
87	813	8435
88	819	8385
89	824	8334
90	829	8282
91	833	8228
92	839	8183
93	843	8128
94	848	8080
95	852	8030
96	857	7982
97	861	7932
98	866	7889
99	899	8092
100	903	8046
101	913	8041
102	919	8007
103	923	7960
104	928	7917
105	934	7878
106	945	7893
107	951	7860
108	955	7812
109	960	7772
110	965	7734
111	971	7702
112	975	7658
113	979	7615
114	983	7570
115	988	7531
116	992	7492
117	1000	7476
118	1005	7444
119	1009	7406
120	1014	7372
121	1019	7335
122	1023	7300
123	1028	7266
124	1033	7233
125	1037	7196
126	1043	7171
127	1051	7166
128	1056	7131
129	1060	7096
130	1071	7105
131	1075	7070
132	1080	7041
133	1084	7008
134	1088	6975
135	1093	6945
136	1097	6914
137	1101	6880
138	1117	6919
139	1122	6893
140	1126	6864
141	1131	6833
142	1135	6805
143	1139	6776
144	1144	6749
145	1149	6721
146	1153	6694
147	1157	6665
148	1164	6653
149	1172	6646
150	1178	6627
151	1184	6608
152	1189	6584
153	1194	6560
154	1291	7042
155	1296	7012
156	1301	6988
157	1305	6958
158	1536	8127
159	1659	8711
160	1669	8699
161	1673	8654
162	1696	8711
163	1701	8671
164	1773	8975
165	1778	8937
166	1788	8923
167	1793	8880
168	1867	9181
169	1871	9135
170	1912	9271
171	1929	9287
172	1933	9244
173	1939	9206
174	1943	9162
175	1948	9121
176	1962	9126
177	1966	9082
178	1971	9042
179	1975	8999
180	1980	8960
181	2004	9008
182	2009	8973
183	2015	8936
184	2019	8897
185	2023	8856
186	2027	8816
187	2031	8775
188	2036	8736
189	2040	8697
190	2044	8659
191	2049	8622
192	2052	8583
193	2057	8547
194	2061	8510
195	2068	8484
196	2072	8449
197	2076	8412
198	2080	8374
199	2085	8340
200	2089	8304
201	2093	8269
202	2097	8233
203	2101	8198
204	2105	8164
205	2109	8129
206	2120	8124
207	2125	8092
208	2252	8523
209	2281	8581
